bench,freq_mhz,median_time_s,mean_time_s,total_energy_mj,edp
lu_mustard,2040,1.1764,1.1776,168866.000,198.6510
lu_mustard,1815,1.4580,1.4839,180093.000,262.5767
lu_mustard,1740,1.2107,1.5321,148014.000,179.1976
lu_mustard,1665,1.1799,1.1780,144963.000,171.0476
lu_mustard,1590,1.1918,1.1890,141222.000,168.3111
lu_mustard,1515,1.8905,1.6653,198297.000,374.8834
lu_mustard,1440,1.9596,1.7224,205510.000,402.7167
lu_mustard,1365,1.3819,1.5522,139343.000,192.5595
lu_mustard,1290,1.2626,1.2616,136896.000,172.8440
lu_mustard,1215,1.2726,1.2790,133774.000,170.2441
lu_mustard,1140,1.8011,1.7212,175579.000,316.2379
lu_mustard,1065,1.3534,1.6051,129045.000,174.6529
lu_mustard,990,1.6949,1.7354,162691.000,275.7427
lu_mustard,915,1.4649,1.4756,135686.000,198.7599
lu_mustard,840,1.5330,1.6942,143629.000,220.1841
lu_mustard,765,1.5940,1.5879,151830.000,242.0184
lu_mustard,690,1.9251,2.0266,175813.000,338.4616
lu_mustard,615,1.9578,1.9667,179337.000,351.1025
lu_mustard,540,2.2609,2.3711,205509.000,464.6306
lu_mustard,465,2.6077,2.5984,230986.000,602.3345
lu_mustard,390,3.0521,3.0730,271598.000,828.9453
lu_mustard,315,3.7930,3.8032,327712.000,1243.0154
lu_mustard,240,4.8714,4.8358,406757.000,1981.4908